mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.354360044002533,1.0459792865667048,0.08765119314193726,0.00916756140648624,300,5,1.0,14,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 1.0, 'max_depth': 14}",-1.8952800475443425,-1.2560227251175178,-1.7959449666902958,-1.0397085740294656,-1.4967390783454053,0.3588803116419521,3
0.7093833088874817,0.369509942012199,0.04247462749481201,0.007446955946434997,200,1,0.7,6,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 6}",-1.9749412729706723,-1.66068002579074,-1.9630990058014772,-1.6351816412027786,-1.808475486441417,0.16085206387441342,8
0.3984949588775635,0.2007855476640237,0.042556583881378174,0.014217789816761332,200,5,sqrt,6,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 6}",-2.2117036561807786,-1.945730171416602,-2.168170969094201,-2.018559586886022,-2.0860410958944007,0.1081403078359374,10
1.8363261818885803,0.846137839596224,0.24945884943008423,0.07227716795405123,300,1,sqrt,,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-1.9743052462379806,-1.2985207669931043,-1.8466896424655568,-1.1357465918917353,-1.5638155618970941,0.3543105621105348,5
1.7962000370025635,0.41030266184661607,0.1928023099899292,0.055350383723270974,300,20,sqrt,14,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 14}",-1.9317825288306176,-1.4809643421207033,-1.8177094505765095,-1.2436471347798301,-1.6185258640769151,0.2726082689252847,7
1.7095654606819153,0.5578466327587408,0.11321103572845459,0.027355234129417268,200,5,0.7,14,"{'n_estimators': 200, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': 14}",-1.8809293905806697,-1.2373311631870336,-1.7885750789248849,-1.0360563176015942,-1.4857229875735456,0.35770312506303076,2
0.5331348776817322,0.26995824294178256,0.07127189636230469,0.03426072255553592,100,5,sqrt,10,"{'n_estimators': 100, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10}",-1.8989923658370835,-1.3553254544726672,-1.7941884270477781,-1.261186991030298,-1.5774233095969568,0.27373647934922624,6
1.156362235546112,0.45533312837231354,0.05477142333984375,0.008871062771449128,100,1,1.0,10,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-1.9344679856658231,-1.2774444804321412,-1.815611959340415,-1.1372533882848,-1.5411944534307949,0.34011081689441447,4
2.424034833908081,0.8351042357206296,0.1381339430809021,0.021196418519033408,300,5,0.7,,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': None}",-1.8841165325178524,-1.2380488188318728,-1.7890582899129814,-1.0298810035978037,-1.4852761612151275,0.36050774329419377,1
1.1152849197387695,0.4802733886859062,0.061327338218688965,0.011085798522377005,300,1,0.7,6,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 6}",-1.9717385907092164,-1.661140289424973,-1.9661859324081217,-1.637643966738688,-1.8091771948202497,0.16001290948498328,9
