country,5,6,7,8
BD,27.438518518518517,27.02525,26.563629032258067,27.17258064516129
BT,15.733888888888888,18.252444444444446,19.188736559139784,19.185403225806454
ID,23.38618827160494,22.77625,22.896236559139783,23.12842741935484
IN,20.584845679012346,20.744229166666667,20.99524865591398,20.590504032258064
KH,25.995833333333334,24.992453703703703,23.9038082437276,24.154525089605734
LA,24.934645061728393,25.277465277777775,23.63336693548387,23.930443548387096
LK,24.110514403292182,24.239333333333335,24.717334229390683,24.183987455197133
MM,23.758858024691357,23.049944444444446,22.655564516129033,22.77279569892473
MY,22.033899176954733,21.6025,21.452105734767024,22.084408602150535
NP,17.497885802469135,20.296208333333333,20.951639784946238,20.961935483870967
SG,27.34027777777778,27.25722222222222,27.181451612903224,27.866801075268818
TH,25.322156084656083,24.877480158730158,24.105203533026113,24.132872503840243
VN,22.054876543209875,22.704083333333333,21.997715053763443,22.414086021505376
