,coef,standard_error,p,ci_low,ci_high
Intercept,-134.88977910867771,23.51086077410538,9.617561546499073e-09,-180.97021947145976,-88.80933874589567
elevation_m,-0.00527244877287149,0.0001238520538800617,0.0,-0.005515194337887725,-0.005029703207855255
latitude,0.7207227717670068,0.15026385790923444,1.6155754547713624e-06,0.4262110220868632,1.0152345214471505
longitude,1.9550386260684172,0.28533725901268775,7.298940848422676e-12,1.3957878749561723,2.514289377180662
