,coef,standard_error,p,ci_low,ci_high
Intercept,-135.09947362226794,23.526918933656912,9.337929967405633e-09,-181.211387399429,-88.98755984510689
C(month)[T.6],0.1288189300412053,0.08913719904415839,0.14840848964875158,-0.04588676976812328,0.30352462985053386
C(month)[T.7],0.6068198260983293,0.13189057201411108,4.2060055474168714e-06,0.3483190550502852,0.8653205971463733
C(month)[T.8],0.07347305190503992,0.15421147269702087,0.6337584590840234,-0.22877588058400286,0.37572198439408266
elevation_m,-0.005272448772872502,0.0001238542223166804,0.0,-0.005515198587946413,-0.005029698957798591
latitude,0.7207227717668728,0.15026648877090656,1.6162525429662466e-06,0.4262058656926035,1.015239677841142
longitude,1.9550386260682093,0.285342254783476,7.305065367611287e-12,1.3957780834251443,2.5142991687112746
