location_id,year,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,hours
lk_batticaloa,2020,1,25.923790322580643,2.1322580645161286,2.7871505376344086,81.64381720430107,1011.2731182795699,55.57392473118279,216.96639784946237,744
lk_batticaloa,2020,2,26.25804597701149,1.7862068965517242,3.116163793103448,78.95977011494253,1011.6584770114944,57.992816091954026,227.68965517241378,696
lk_batticaloa,2020,3,27.4255376344086,0.22258064516129034,2.4243817204301075,75.50537634408602,1010.0978494623656,55.60215053763441,271.11424731182797,744
lk_batticaloa,2020,4,28.7675,1.2466666666666666,2.211888888888889,76.22361111111111,1009.3588888888889,46.390277777777776,272.1375,720
lk_batticaloa,2020,5,29.288844086021506,3.7129032258064516,2.1604435483870965,76.8010752688172,1006.2430107526882,75.23790322580645,240.73924731182797,744
lk_batticaloa,2020,6,29.81763888888889,2.67,2.523486111111111,68.61805555555556,1005.6513888888888,77.50138888888888,240.78333333333333,720
lk_batticaloa,2020,7,28.68938172043011,3.212903225806451,1.9278494623655913,75.3763440860215,1005.674193548387,87.35215053763442,228.32123655913978,744
lk_batticaloa,2020,8,29.57916666666667,0.5709677419354838,2.971088709677419,65.5524193548387,1006.2653225806451,75.58467741935483,254.80645161290323,744
lk_batticaloa,2020,9,28.113472222222224,4.533333333333333,2.259916666666667,76.7875,1006.8768055555556,85.12361111111112,215.4763888888889,720
lk_batticaloa,2020,10,28.986962365591395,1.535483870967742,3.0450672043010756,67.10887096774194,1006.6081989247311,71.81317204301075,257.2244623655914,744
lk_batticaloa,2020,11,26.351527777777775,5.64,2.307361111111111,85.81805555555556,1009.2987499999999,81.22777777777777,186.65694444444443,720
lk_batticaloa,2020,12,25.378091397849463,13.00967741935484,2.5680510752688175,87.7997311827957,1009.413440860215,78.84946236559139,160.4005376344086,744
lk_batticaloa,2021,1,25.31290322580645,10.422580645161291,2.375497311827957,86.77284946236558,1009.3508064516129,83.18548387096774,164.08602150537635,744
lk_batticaloa,2021,2,25.698809523809523,1.9785714285714286,2.7264583333333334,81.94345238095238,1010.5558035714286,62.629464285714285,223.99107142857142,672
lk_batticaloa,2021,3,26.80255376344086,2.225806451612903,2.001236559139785,80.86962365591398,1009.513440860215,62.43817204301075,233.06586021505376,744
lk_batticaloa,2021,4,28.10625,2.16,1.633541666666667,79.175,1008.6165277777778,48.647222222222226,271.51944444444445,720
lk_batticaloa,2021,5,28.60672043010753,3.361290322580645,2.352258064516129,77.61424731182795,1006.6579301075269,79.83467741935483,238.39112903225808,744
lk_batticaloa,2021,6,29.557777777777776,1.0466666666666666,2.7768333333333333,66.44305555555556,1006.916388888889,73.72638888888889,255.6486111111111,720
lk_batticaloa,2021,7,29.671102150537635,1.4419354838709677,3.355309139784946,64.91801075268818,1005.967876344086,79.51881720430107,236.80510752688173,744
lk_batticaloa,2021,8,29.356586021505375,1.9741935483870967,2.786639784946237,65.93548387096774,1006.940188172043,93.42204301075269,229.66263440860214,744
lk_batticaloa,2021,9,28.825972222222223,2.7466666666666666,2.322236111111111,72.30694444444444,1006.5156944444445,77.96388888888889,239.74583333333334,720
lk_batticaloa,2021,10,27.440860215053764,6.632258064516128,2.11619623655914,80.65994623655914,1007.3837365591398,81.38844086021506,212.61290322580646,744
lk_batticaloa,2021,11,26.205833333333334,11.563333333333333,2.0752916666666668,87.08194444444445,1007.3883333333333,81.15277777777777,175.99722222222223,720
lk_batticaloa,2021,12,25.847983870967745,3.4580645161290327,2.332768817204301,84.24193548387096,1010.9853494623655,53.956989247311824,195.09543010752688,744
lk_batticaloa,2022,1,25.284274193548388,4.790322580645161,2.366290322580645,85.37231182795699,1010.5518817204301,67.04301075268818,205.07258064516128,744
lk_batticaloa,2022,2,25.79642857142857,3.446428571428571,2.357693452380952,81.22767857142857,1009.6994047619048,65.86755952380952,221.52083333333334,672
lk_batticaloa,2022,3,27.009543010752687,2.2548387096774194,2.2058870967741937,81.98924731182795,1008.0342741935484,56.16263440860215,242.86559139784947,744
lk_batticaloa,2022,4,27.714027777777776,5.216666666666667,1.5912222222222223,82.28055555555555,1007.78,59.266666666666666,257.3569444444444,720
lk_batticaloa,2022,5,29.403225806451612,1.4129032258064516,2.4228897849462365,72.54569892473118,1005.1825268817205,74.67204301075269,248.36693548387098,744
lk_batticaloa,2022,6,29.184861111111108,2.183333333333333,2.3980416666666664,70.2,1005.5019444444445,83.54166666666667,240.30277777777778,720
lk_batticaloa,2022,7,29.088844086021503,3.5870967741935487,3.288508064516129,67.84274193548387,1005.4701612903226,83.6975806451613,222.89112903225808,744
lk_batticaloa,2022,8,28.425,2.661290322580645,3.1504301075268817,70.17338709677419,1005.6762096774194,86.0725806451613,243.69489247311827,744
lk_batticaloa,2022,9,28.662222222222223,1.6,2.2296388888888887,71.04722222222222,1007.102361111111,69.59166666666667,257.7888888888889,720
lk_batticaloa,2022,10,27.171102150537635,8.412903225806451,2.461962365591398,79.11559139784946,1008.0845430107527,80.85752688172043,210.88037634408602,744
lk_batticaloa,2022,11,25.889166666666668,10.666666666666666,2.0863194444444444,85.09722222222223,1009.2418055555555,79.00416666666666,188.1125,720
lk_batticaloa,2022,12,25.20456989247312,11.335483870967742,2.846801075268817,86.01209677419355,1008.9771505376344,81.28091397849462,163.03360215053763,744
lk_batticaloa,2023,1,24.898118279569893,5.945161290322581,2.940927419354839,82.375,1011.1237903225806,78.5510752688172,188.46639784946237,744
lk_batticaloa,2023,2,25.347470238095237,3.4250000000000007,2.6544791666666665,83.21428571428571,1010.7869047619048,65.93303571428571,217.26488095238096,672
lk_batticaloa,2023,3,26.749059139784944,2.5870967741935487,2.2306048387096773,83.13172043010752,1010.0866935483871,64.04301075268818,246.91129032258064,744
lk_batticaloa,2023,4,28.331666666666667,2.7133333333333334,2.0035,78.70694444444445,1008.3558333333333,45.09027777777778,267.7055555555556,720
lk_batticaloa,2023,5,28.72755376344086,4.129032258064516,1.6158467741935485,81.58467741935483,1007.6641129032258,64.27553763440861,244.51209677419354,744
lk_batticaloa,2023,6,30.556111111111115,0.9633333333333334,2.748222222222222,64.39027777777778,1006.1438888888889,74.78194444444445,258.6069444444444,720
lk_batticaloa,2023,7,30.450940860215052,0.4806451612903226,3.5074462365591397,60.428763440860216,1006.8849462365591,78.39516129032258,230.19489247311827,744
lk_batticaloa,2023,8,30.183736559139785,1.3774193548387097,2.188534946236559,66.44489247311827,1007.5930107526881,71.00403225806451,270.94086021505376,744
lk_batticaloa,2023,9,28.124583333333334,8.486666666666666,1.4899583333333333,80.46111111111111,1007.6447222222222,80.71666666666667,229.62083333333334,720
