variable,lower,upper,outside
temperature_2m,-90,60,0
apparent_temperature,-100,75,0
dew_point_2m,-100,60,0
relative_humidity_2m,0,100,0
precipitation,0,500,0
rain,0,500,0
wind_speed_10m,0,60,0
wind_speed_100m,0,75,0
wind_gusts_10m,0,90,0
pressure_msl,870,1085,0
surface_pressure,300,1100,0
cloud_cover,0,100,0
latitude,-90,90,0
longitude,-180,180,0
elevation_m,-430,8849,0
