location_id,date,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,year,month,day
lk_batticaloa,2020-01-01 00:00:00+00:00,26.40833333333333,1.0,2.2358333333333333,86.125,1012.1291666666666,50.625,214.04166666666666,2020,1,1
lk_batticaloa,2020-01-02 00:00:00+00:00,26.15833333333333,4.6,2.0191666666666666,89.0,1012.8958333333334,51.416666666666664,188.45833333333334,2020,1,2
lk_batticaloa,2020-01-03 00:00:00+00:00,26.520833333333332,2.6,2.4883333333333333,87.25,1011.4916666666667,38.125,212.125,2020,1,3
lk_batticaloa,2020-01-04 00:00:00+00:00,26.491666666666664,1.2000000000000002,1.8704166666666666,87.75,1010.225,39.791666666666664,214.875,2020,1,4
lk_batticaloa,2020-01-05 00:00:00+00:00,26.7625,1.1,2.91625,83.08333333333333,1010.4125,27.666666666666668,224.79166666666666,2020,1,5
lk_batticaloa,2020-01-06 00:00:00+00:00,26.1125,4.2,3.3683333333333336,88.0,1011.6125000000001,46.375,189.0,2020,1,6
lk_batticaloa,2020-01-07 00:00:00+00:00,25.520833333333332,4.8,3.5079166666666666,89.83333333333333,1011.1708333333332,77.95833333333333,164.91666666666666,2020,1,7
lk_batticaloa,2020-01-08 00:00:00+00:00,25.75,1.3,3.1341666666666668,83.66666666666667,1011.1999999999999,36.583333333333336,209.70833333333334,2020,1,8
lk_batticaloa,2020-01-09 00:00:00+00:00,25.78333333333333,0.0,2.15875,78.875,1011.0,66.875,231.04166666666666,2020,1,9
lk_batticaloa,2020-01-10 00:00:00+00:00,25.925,0.0,2.215,76.70833333333333,1011.4083333333333,88.75,221.75,2020,1,10
lk_batticaloa,2020-01-11 00:00:00+00:00,25.104166666666668,7.4,3.90375,89.29166666666667,1011.2666666666668,68.375,160.83333333333334,2020,1,11
lk_batticaloa,2020-01-12 00:00:00+00:00,25.787499999999998,2.6,3.998333333333333,81.33333333333333,1010.4833333333332,42.666666666666664,204.70833333333334,2020,1,12
lk_batticaloa,2020-01-13 00:00:00+00:00,24.954166666666666,0.0,3.3154166666666662,72.58333333333333,1010.4125,25.416666666666668,240.45833333333334,2020,1,13
lk_batticaloa,2020-01-14 00:00:00+00:00,24.875,0.0,2.455833333333333,70.83333333333333,1010.4583333333334,63.75,233.45833333333334,2020,1,14
lk_batticaloa,2020-01-15 00:00:00+00:00,25.22083333333333,0.4,1.9966666666666668,75.91666666666667,1010.4916666666667,95.54166666666667,227.375,2020,1,15
lk_batticaloa,2020-01-16 00:00:00+00:00,25.375,3.2,1.94625,86.125,1010.6083333333332,45.083333333333336,216.70833333333334,2020,1,16
lk_batticaloa,2020-01-17 00:00:00+00:00,25.6125,3.5999999999999996,1.9016666666666666,86.45833333333333,1010.6875,67.04166666666667,203.95833333333334,2020,1,17
lk_batticaloa,2020-01-18 00:00:00+00:00,26.53333333333333,1.5,2.5733333333333333,83.29166666666667,1010.3249999999999,44.416666666666664,218.08333333333334,2020,1,18
lk_batticaloa,2020-01-19 00:00:00+00:00,26.3125,3.5999999999999996,3.4291666666666667,85.95833333333333,1010.9416666666666,66.54166666666667,199.5,2020,1,19
lk_batticaloa,2020-01-20 00:00:00+00:00,26.554166666666664,1.1,3.254583333333333,81.54166666666667,1011.8958333333334,53.916666666666664,224.25,2020,1,20
lk_batticaloa,2020-01-21 00:00:00+00:00,26.254166666666666,5.6,3.5404166666666668,84.04166666666667,1012.4916666666667,54.583333333333336,211.33333333333334,2020,1,21
lk_batticaloa,2020-01-22 00:00:00+00:00,25.59583333333333,11.3,3.33625,90.54166666666667,1012.4625,89.41666666666667,138.54166666666666,2020,1,22
lk_batticaloa,2020-01-23 00:00:00+00:00,26.5,2.7,3.94375,85.54166666666667,1011.5041666666666,48.5,193.08333333333334,2020,1,23
lk_batticaloa,2020-01-24 00:00:00+00:00,26.758333333333336,0.7000000000000001,3.952083333333333,79.5,1011.4041666666667,36.541666666666664,225.70833333333334,2020,1,24
lk_batticaloa,2020-01-25 00:00:00+00:00,26.325,1.6,3.45125,78.20833333333333,1011.8666666666667,46.625,206.33333333333334,2020,1,25
lk_batticaloa,2020-01-26 00:00:00+00:00,25.791666666666668,0.0,2.625,73.5,1011.15,86.08333333333333,236.45833333333334,2020,1,26
lk_batticaloa,2020-01-27 00:00:00+00:00,25.325,0.0,1.9800000000000002,72.91666666666667,1011.4416666666666,75.20833333333333,264.8333333333333,2020,1,27
lk_batticaloa,2020-01-28 00:00:00+00:00,25.47083333333333,0.0,2.105,76.58333333333333,1012.3791666666666,84.0,257.9166666666667,2020,1,28
lk_batticaloa,2020-01-29 00:00:00+00:00,25.833333333333332,0.0,2.231666666666667,76.0,1012.2083333333334,52.291666666666664,263.5,2020,1,29
lk_batticaloa,2020-01-30 00:00:00+00:00,25.666666666666668,0.0,2.2191666666666667,76.04166666666667,1011.15,21.666666666666668,266.5416666666667,2020,1,30
lk_batticaloa,2020-01-31 00:00:00+00:00,26.354166666666668,0.0,2.3279166666666664,74.45833333333333,1010.2916666666666,30.958333333333332,261.6666666666667,2020,1,31
lk_batticaloa,2020-02-01 00:00:00+00:00,26.3625,0.2,2.549583333333333,74.5,1011.3874999999999,44.583333333333336,235.41666666666666,2020,2,1
lk_batticaloa,2020-02-02 00:00:00+00:00,26.241666666666664,1.1,2.9625,76.54166666666667,1012.65,45.666666666666664,216.33333333333334,2020,2,2
lk_batticaloa,2020-02-03 00:00:00+00:00,26.204166666666666,2.2,2.702916666666667,80.0,1012.3291666666668,73.75,203.16666666666666,2020,2,3
lk_batticaloa,2020-02-04 00:00:00+00:00,26.162499999999998,2.5,2.8974999999999995,81.29166666666667,1011.1541666666667,86.5,210.41666666666666,2020,2,4
lk_batticaloa,2020-02-05 00:00:00+00:00,26.2375,0.6000000000000001,2.7916666666666665,78.875,1011.7083333333334,86.66666666666667,235.08333333333334,2020,2,5
lk_batticaloa,2020-02-06 00:00:00+00:00,26.008333333333336,0.6000000000000001,2.46125,79.58333333333333,1011.9458333333333,91.25,215.0,2020,2,6
lk_batticaloa,2020-02-07 00:00:00+00:00,25.916666666666668,0.0,2.5720833333333335,73.875,1012.6083333333332,87.0,218.45833333333334,2020,2,7
lk_batticaloa,2020-02-08 00:00:00+00:00,25.90833333333333,0.0,2.372916666666667,73.08333333333333,1012.8333333333334,40.833333333333336,260.6666666666667,2020,2,8
lk_batticaloa,2020-02-09 00:00:00+00:00,26.212500000000002,0.0,2.7587499999999996,69.58333333333333,1012.1833333333334,25.75,265.9583333333333,2020,2,9
lk_batticaloa,2020-02-10 00:00:00+00:00,26.358333333333334,0.1,3.589583333333333,74.08333333333333,1011.8208333333333,53.791666666666664,224.95833333333334,2020,2,10
