scope,model,formula,r2,elevation_per_km,p,ci_low,ci_high
Regional,1,temperature_2m ~ elevation_m,0.8212214232601358,-5.151172021840111,0.0,-5.371562785803381,-4.930781257876841
Regional,2,temperature_2m ~ elevation_m + latitude + longitude,0.8237342604821811,-5.270274425978084,0.0,-5.480338812657421,-5.060210039298746
Regional,3,temperature_2m ~ elevation_m + latitude + longitude + C(month),0.8244720413577046,-5.270274425977645,0.0,-5.4803399159603945,-5.060208935994895
Regional,4,temperature_2m ~ elevation_m + latitude + longitude + C(month) + C(country),0.828067609145523,-5.330760616135132,0.0,-5.55956306168737,-5.101958170582894
Sri Lanka,1,temperature_2m ~ elevation_m,0.7416106447953866,-5.240161071672969,2.7728012059735483e-131,-5.661425818443351,-4.818896324902589
Sri Lanka,2,temperature_2m ~ elevation_m + latitude + longitude,0.7758011923631756,-5.27244877287149,0.0,-5.515194337887725,-5.029703207855254
Sri Lanka,3,temperature_2m ~ elevation_m + latitude + longitude + C(month),0.7783498961564053,-5.272448772872502,0.0,-5.515198587946413,-5.029698957798591
