,mean_absolute_shap
elevation_m,4.369770193672126
latitude,0.456566931758924
longitude,0.3497762937983167
month_sin,0.27565646174290176
month_cos,0.04427790201288397
hour_sin,1.3815486576731044
hour_cos,0.7860036778315078
year,0.0
