feature,built_in,permutation_r2_drop,permutation_std
elevation_m,0.757103181925032,1.5819861306945373,0.01248196025586248
latitude,0.10140883795709327,0.03950674012209312,0.0007602099585961226
longitude,0.03287612700393229,0.03870672040352356,0.0016211145020719696
month_sin,0.016360258495473307,0.0,0.0
month_cos,0.001603832443548382,0.0,0.0
hour_sin,0.061284769540744695,0.13505610164588291,0.001891448366745269
hour_cos,0.02936299263417591,0.06003786020218775,0.0018503258980872566
year,0.0,0.0,0.0
