,coef,standard_error,p,ci_low,ci_high
Intercept,28.42584068147165,1.065046497016258,6.188001901050396e-157,26.33838790545924,30.513293457484064
C(month)[T.6],0.3791464506170268,0.14593071730658366,0.009373398028792062,0.09312750045802687,0.6651654007760267
C(month)[T.7],0.45163744524072563,0.2017307061392549,0.02516804803984553,0.05625252663195285,0.8470223638494985
C(month)[T.8],0.3204828753487723,0.2007553715794617,0.1104028502487539,-0.07299042264992855,0.7139561733474731
elevation_m,-0.005270274425977645,0.00010717823982466968,0.0,-0.005480339915960394,-0.005060208935994895
latitude,0.041180247235632995,0.011425800384981855,0.0003131815639695706,0.018786089986524673,0.06357440448474132
longitude,-0.013518123605175987,0.011481642459050673,0.2390484762046854,-0.03602172930828121,0.008985482097929232
