Model,MAE,RMSE,R2
Mean baseline,4.727352585990958,5.801265566901967,-3.0673134681746816e-05
Linear regression,1.4683300854010652,1.873290441113758,0.8957255131121343
Random forest,0.7907617295552966,1.089170911470888,0.9647499371569467
Gradient boosting,0.9088030059754679,1.1935184963020817,0.9576721572660883
XGBoost,0.8108693973543823,1.091654348685842,0.9645890053523994
Tuned random forest,0.7759930521654492,1.0764324303590733,0.9655696549984121
