location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation
lk_batticaloa,1,25.44587813620072,6.873655913978496,2.6505689964157706,84.48879928315412,1010.6433243727598,72.53024193548386,185.3024193548387
lk_batticaloa,2,26.02866208264915,2.5714696223316915,2.718350779967159,81.05518780788178,1010.9405257936509,59.587378557744934,227.76004036672143
lk_batticaloa,3,27.077195340501788,1.9145161290322583,2.18130376344086,80.75537634408602,1009.656406810036,58.78942652329749,251.97155017921148
lk_batticaloa,4,28.31398148148148,2.9805555555555556,1.8836504629629631,79.81828703703704,1008.2901388888889,54.394444444444446,265.0844907407407
lk_batticaloa,5,29.118839605734767,3.319354838709677,2.2252464157706093,76.91913082437276,1006.1291890681003,75.51299283154121,241.65434587813618
lk_batticaloa,6,29.920879629629628,1.3916666666666666,2.7063634259259257,66.63194444444444,1006.137800925926,77.44699074074073,246.25208333333333
lk_batticaloa,7,29.888351254480284,1.6188172043010753,3.328418458781362,64.51478494623656,1005.9220430107526,80.80197132616487,233.6487455197133
lk_batticaloa,8,29.37576164874552,1.9618279569892474,2.662040770609319,67.70250896057347,1006.6981406810036,80.35707885304659,249.12455197132616
lk_batticaloa,9,29.04287037037037,3.3072222222222223,2.3459351851851853,70.73356481481481,1006.9397453703704,77.80277777777778,240.78101851851852
lk_batticaloa,10,27.70188172043011,7.000537634408602,2.121868279569892,78.74462365591397,1008.0544802867383,75.68167562724015,222.75448028673836
lk_batticaloa,11,26.19798611111111,13.077777777777778,2.1870138888888886,86.65416666666665,1008.8031249999999,79.80324074074075,177.862962962963
lk_batticaloa,12,25.688597670250896,9.251075268817205,2.528172043010753,86.64180107526882,1009.7754032258064,73.76590501792116,174.88284050179212
lk_colombo,1,26.378606630824375,3.7102150537634415,2.4563194444444445,77.46102150537634,1009.9163978494622,63.59206989247312,208.40524193548387
lk_colombo,2,27.680806992337164,1.23433908045977,2.1832558497536945,70.96502976190476,1009.9913006294472,52.314732142857146,249.5077483579639
lk_colombo,3,27.954905913978493,3.1365591397849464,1.621733870967742,76.26792114695341,1009.3607750896058,57.33221326164875,247.72155017921148
lk_colombo,4,27.73886574074074,5.945555555555555,1.7276041666666666,82.50231481481482,1008.6367361111111,61.64791666666667,238.17291666666665
lk_colombo,5,27.43931451612903,11.450537634408603,2.8193727598566305,86.22558243727599,1007.6325268817204,84.18413978494624,187.0100806451613
lk_colombo,6,27.04715277777778,8.044444444444444,2.934277777777778,86.02523148148147,1008.1956018518518,84.46574074074074,194.22847222222222
lk_colombo,7,26.867047491039425,7.167204301075269,2.88236335125448,85.65076164874552,1008.012724014337,85.13172043010753,195.82011648745518
lk_colombo,8,26.662365591397847,7.647849462365592,2.913371415770609,85.08378136200717,1008.6302867383512,84.53651433691756,206.4527329749104
lk_colombo,9,26.530578703703707,8.484444444444444,2.8436805555555558,85.88310185185185,1008.8556018518519,85.31666666666666,193.7423611111111
lk_colombo,10,26.32477598566308,12.391397849462365,2.146749551971326,86.71639784946235,1009.1804659498208,83.89314516129032,183.40501792114696
lk_colombo,11,26.049166666666668,15.032222222222222,1.9068171296296297,86.2289351851852,1009.1541435185185,83.34976851851852,170.24467592592592
lk_colombo,12,26.11299283154122,5.08010752688172,2.3177508960573476,82.58490143369175,1009.5359318996416,67.73499103942653,191.61514336917563
lk_galle,1,26.197871863799282,6.304838709677419,1.3996729390681004,82.95833333333333,1010.7683467741936,70.51859318996416,212.05645161290326
lk_galle,2,26.9640111863711,2.9326354679802957,1.4775231766557197,79.11231698139026,1010.9491191160372,59.6512298166393,250.7617337164751
lk_galle,3,27.32567204301075,3.9844086021505376,1.6391241039426523,80.71034946236558,1010.3644937275985,59.23073476702509,252.42338709677418
lk_galle,4,27.546574074074073,6.770555555555556,1.8345624999999999,83.55902777777777,1009.651712962963,63.097685185185185,246.4483796296296
lk_galle,5,27.447267025089605,12.126881720430106,3.541881720430107,85.68682795698925,1008.7028449820788,84.46751792114695,205.62320788530465
lk_galle,6,27.07358796296296,7.610555555555556,3.9920833333333334,84.93310185185184,1009.2326620370371,82.57685185185186,216.6861111111111
lk_galle,7,26.89341397849462,7.109677419354838,4.22703853046595,84.70071684587813,1009.0059139784945,84.9222670250896,212.32862903225805
lk_galle,8,26.676881720430107,6.937096774193549,3.8907078853046593,84.75940860215054,1009.6564292114695,84.19825268817205,224.71886200716847
lk_galle,9,26.576087962962962,8.679444444444444,3.6841851851851852,85.13333333333334,1009.8918981481482,84.00185185185185,212.73842592592595
lk_galle,10,26.480465949820786,9.422580645161291,3.0490860215053766,85.5114247311828,1010.1402105734768,82.61379928315412,201.46639784946237
