,count,mean,std,min,25%,50%,75%,max
temperature_2m,285600.0,22.797898109243697,6.170168240630551,-8.0,19.0,24.0,27.3,40.7
precipitation,285600.0,0.3555203081232493,0.9092706920221629,0.0,0.0,0.1,0.3,25.6
wind_speed_10m,285600.0,2.471932633053221,1.8605708993172805,0.0,1.06,1.93,3.44,12.45
relative_humidity_2m,285600.0,83.11101190476191,12.879203542867526,19.0,76.0,86.0,93.0,100.0
pressure_msl,285600.0,1009.4567251400559,3.576231787387301,993.3,1007.3,1009.8,1011.9,1022.9
