country,temperature_2m,precipitation
BT,18.167955182072827,13.002857142857144
NP,20.00546218487395,13.353529411764706
IN,20.73341211484594,9.612436974789915
MY,21.78674136321195,6.6568627450980395
VN,22.297226890756303,9.079495798319329
MM,23.035854341736695,9.742857142857144
ID,23.03764005602241,7.595798319327731
LK,24.320208916900093,4.201540616246499
LA,24.420483193277313,10.33655462184874
TH,24.583218287314928,9.432893157262905
KH,24.71823062558357,7.44985994397759
BD,27.037142857142857,14.24033613445378
SG,27.41512605042017,6.2025210084033615
