location_id,month,variable,year,mean,median,sd,q25,q75
lk_batticaloa,1,temperature_2m,2020,25.923790322580643,25.833333333333332,0.5388153517426877,25.55833333333333,26.38125
lk_batticaloa,1,temperature_2m,2021,25.312903225806455,25.358333333333334,0.47365838168959146,24.908333333333335,25.62916666666667
lk_batticaloa,1,temperature_2m,2022,25.284274193548388,25.15833333333333,0.7084123401015294,24.77708333333333,25.81041666666667
lk_batticaloa,1,temperature_2m,2023,24.898118279569893,25.070833333333336,0.506027144260852,24.570833333333333,25.20416666666667
lk_batticaloa,1,temperature_2m,2024,25.990591397849464,25.95,0.5521621722973503,25.572916666666664,26.47291666666667
lk_batticaloa,1,temperature_2m,2025,25.26559139784946,25.366666666666664,0.4768433624303755,25.018749999999997,25.645833333333336
lk_batticaloa,1,precipitation,2020,2.1322580645161286,1.2000000000000002,2.6056844394226757,0.0,3.4
lk_batticaloa,1,precipitation,2021,10.422580645161291,8.1,11.35584165902934,1.1,13.25
lk_batticaloa,1,precipitation,2022,4.790322580645162,2.5,6.166866024095203,0.6000000000000001,5.6000000000000005
lk_batticaloa,1,precipitation,2023,5.945161290322581,1.1,9.5523762736357,0.45,5.4
lk_batticaloa,1,precipitation,2024,5.8354838709677415,2.5,8.278749840690391,0.65,6.95
lk_batticaloa,1,precipitation,2025,12.116129032258065,7.9,17.14683832419636,1.4500000000000002,12.5
lk_batticaloa,1,wind_speed_10m,2020,2.7871505376344086,2.5733333333333333,0.7170545631194617,2.1868749999999997,3.39875
lk_batticaloa,1,wind_speed_10m,2021,2.375497311827957,2.4233333333333333,0.6476375195319491,1.8714583333333334,2.8129166666666663
lk_batticaloa,1,wind_speed_10m,2022,2.366290322580645,2.2600000000000002,0.5569801944210404,1.9089583333333333,2.8200000000000003
lk_batticaloa,1,wind_speed_10m,2023,2.9409274193548387,2.8545833333333337,0.5386797100069003,2.567708333333333,3.2004166666666665
lk_batticaloa,1,wind_speed_10m,2024,2.457271505376344,2.295,0.6363963562177959,2.04375,3.0445833333333336
lk_batticaloa,1,wind_speed_10m,2025,2.9762768817204286,2.875,0.7832299646298183,2.467083333333333,3.5722916666666666
lk_batticaloa,1,relative_humidity_2m,2020,81.64381720430109,83.08333333333333,5.896295512996533,76.3125,86.29166666666666
lk_batticaloa,1,relative_humidity_2m,2021,86.77284946236558,87.66666666666667,6.934430324455729,85.20833333333333,91.54166666666666
lk_batticaloa,1,relative_humidity_2m,2022,85.37231182795698,86.04166666666667,5.103885315192067,79.97916666666666,89.25
lk_batticaloa,1,relative_humidity_2m,2023,82.37500000000001,80.79166666666667,7.116612997455712,77.83333333333334,87.16666666666666
lk_batticaloa,1,relative_humidity_2m,2024,84.03494623655915,84.41666666666667,7.099231315768695,77.9375,90.22916666666667
lk_batticaloa,1,relative_humidity_2m,2025,86.73387096774194,88.375,6.169497073972777,83.375,90.77083333333334
lk_batticaloa,1,surface_pressure,2020,1011.2731182795698,1011.1999999999999,0.7469853290660508,1010.55,1011.7395833333334
lk_batticaloa,1,surface_pressure,2021,1009.3508064516129,1009.3291666666668,1.2837361468088562,1008.4770833333334,1010.6458333333334
lk_batticaloa,1,surface_pressure,2022,1010.5518817204301,1010.3541666666666,1.0746117078185236,1009.8854166666667,1011.4625000000001
lk_batticaloa,1,surface_pressure,2023,1011.1237903225806,1011.3249999999999,1.6877119872158586,1010.1187499999999,1012.38125
lk_batticaloa,1,surface_pressure,2024,1011.6258064516128,1011.3874999999999,1.1870824896426897,1010.5729166666667,1012.5208333333333
lk_batticaloa,1,surface_pressure,2025,1009.9345430107526,1009.8458333333333,0.8971974069162816,1009.1104166666667,1010.775
lk_batticaloa,1,cloud_cover,2020,55.5739247311828,51.416666666666664,20.389167165290146,41.229166666666664,67.70833333333334
lk_batticaloa,1,cloud_cover,2021,83.18548387096776,89.58333333333333,18.58944480569526,78.3125,98.45833333333334
lk_batticaloa,1,cloud_cover,2022,67.04301075268818,61.416666666666664,21.15327245683783,51.22916666666667,87.125
lk_batticaloa,1,cloud_cover,2023,78.5510752688172,81.16666666666667,18.562802278613177,64.72916666666666,94.45833333333334
lk_batticaloa,1,cloud_cover,2024,62.806451612903224,63.375,23.741956601879792,41.125,76.27083333333334
lk_batticaloa,1,cloud_cover,2025,88.0215053763441,94.33333333333333,13.72264902184786,83.60416666666667,98.375
lk_batticaloa,1,shortwave_radiation,2020,216.9663978494624,216.70833333333334,30.193079327507828,204.33333333333334,232.25
lk_batticaloa,1,shortwave_radiation,2021,164.08602150537638,171.0,49.38173059550394,130.02083333333331,204.64583333333334
lk_batticaloa,1,shortwave_radiation,2022,205.07258064516128,215.54166666666666,53.27259884718498,179.25,242.0625
lk_batticaloa,1,shortwave_radiation,2023,188.4663978494624,198.16666666666666,48.34031010392721,174.22916666666669,211.45833333333331
lk_batticaloa,1,shortwave_radiation,2024,185.0981182795699,203.625,50.880922110030845,169.52083333333331,217.54166666666666
lk_batticaloa,1,shortwave_radiation,2025,152.12500000000003,163.5,54.19039651150446,132.8125,195.22916666666666
