location_id,start,end,hours,name,country_code,region,latitude,longitude,elevation_m,country,timezone
lk_ambewela,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Ambewela,LK,South Asia,6.8992,80.8028,1885.0,LK,UTC
lk_anuradhapura,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Anuradhapura,LK,South Asia,8.3114,80.4037,90.0,LK,UTC
lk_badulla,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Badulla,LK,South Asia,6.9934,81.055,661.0,LK,UTC
lk_bandarawela,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Bandarawela,LK,South Asia,6.8259,80.9982,1248.0,LK,UTC
lk_batticaloa,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Batticaloa,LK,South Asia,7.7102,81.6924,10.0,LK,UTC
lk_colombo,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Colombo,LK,South Asia,6.9271,79.8612,9.0,LK,UTC
lk_diyatalawa,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Diyatalawa,LK,South Asia,6.807,80.9595,1283.0,LK,UTC
lk_ella,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Ella,LK,South Asia,6.8667,81.0466,907.0,LK,UTC
lk_galle,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Galle,LK,South Asia,6.0535,80.221,3.0,LK,UTC
lk_gampola,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Gampola,LK,South Asia,7.1643,80.5696,496.0,LK,UTC
lk_hambantota,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Hambantota,LK,South Asia,6.1429,81.1212,15.0,LK,UTC
lk_haputale,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Haputale,LK,South Asia,6.7681,80.959,1427.0,LK,UTC
lk_hatton,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Hatton,LK,South Asia,6.8916,80.5955,1303.0,LK,UTC
lk_horton_plains,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Horton Plains,LK,South Asia,6.8021,80.807,2130.0,LK,UTC
lk_jaffna,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Jaffna,LK,South Asia,9.6615,80.0255,9.0,LK,UTC
lk_kandy,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Kandy,LK,South Asia,7.2906,80.6337,499.0,LK,UTC
lk_kegalle,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Kegalle,LK,South Asia,7.2513,80.3464,205.0,LK,UTC
lk_kurunegala,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Kurunegala,LK,South Asia,7.4863,80.3647,124.0,LK,UTC
lk_mannar,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Mannar,LK,South Asia,8.981,79.9044,6.0,LK,UTC
lk_matale,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Matale,LK,South Asia,7.4675,80.6234,356.0,LK,UTC
lk_matara,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Matara,LK,South Asia,5.9549,80.555,6.0,LK,UTC
lk_nawalapitiya,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,38088,Nawalapitiya,LK,South Asia,7.0505,80.53,577.0,LK,UTC
lk_nuwara_eliya,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Nuwara Eliya,LK,South Asia,6.9497,80.7891,1888.0,LK,UTC
lk_pidurutalagala,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Pidurutalagala,LK,South Asia,7.0008,80.7733,2500.0,LK,UTC
lk_polonnaruwa,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Polonnaruwa,LK,South Asia,7.9403,81.0188,49.0,LK,UTC
lk_puttalam,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Puttalam,LK,South Asia,8.0362,79.8283,4.0,LK,UTC
lk_ratnapura,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Ratnapura,LK,South Asia,6.6828,80.3992,34.0,LK,UTC
lk_sri_pada,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Sri Pada,LK,South Asia,6.8096,80.4994,2163.0,LK,UTC
lk_trincomalee,2020-01-01 00:00:00+00:00,2026-08-31 23:00:00+00:00,55632,Trincomalee,LK,South Asia,8.5874,81.2152,9.0,LK,UTC
lk_welimada,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Welimada,LK,South Asia,6.902,80.9223,1064.0,LK,UTC
mm_hakha,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Hakha,MM,Southeast Asia,22.6445,93.6108,1768.0,MM,UTC
mm_kalaw,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Kalaw,MM,Southeast Asia,20.6333,96.5667,1309.0,MM,UTC
mm_mandalay,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Mandalay,MM,Southeast Asia,21.9588,96.0891,76.0,MM,UTC
mm_taunggyi,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Taunggyi,MM,Southeast Asia,20.7888,97.0337,1390.0,MM,UTC
mm_yangon,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Yangon,MM,Southeast Asia,16.8409,96.1735,7.0,MM,UTC
my_cameron_highlands,2026-05-05 00:00:00+00:00,2026-08-31 23:00:00+00:00,2856,Cameron Highlands,MY,Southeast Asia,4.47,101.376,1436.0,MY,UTC
my_genting,2026-05-05 00:00:00+00:00,2026-08-31 23:00:00+00:00,2856,Genting Highlands,MY,Southeast Asia,3.4239,101.7932,1745.0,MY,UTC
my_george_town,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,George Town,MY,Southeast Asia,5.4141,100.3288,6.0,MY,UTC
np_bharatpur,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Bharatpur,NP,South Asia,27.6833,84.4333,213.0,NP,UTC
np_biratnagar,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Biratnagar,NP,South Asia,26.4525,87.2718,71.0,NP,UTC
np_dhulikhel,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Dhulikhel,NP,South Asia,27.6221,85.5421,1490.0,NP,UTC
np_dingboche,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Dingboche,NP,South Asia,27.892,86.8314,4321.0,NP,UTC
np_janakpur,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Janakpur,NP,South Asia,26.7271,85.9407,74.0,NP,UTC
np_jomsom,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Jomsom,NP,South Asia,28.7806,83.7278,2751.0,NP,UTC
np_kathmandu,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Kathmandu,NP,South Asia,27.7172,85.324,1301.0,NP,UTC
np_lukla,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Lukla,NP,South Asia,27.6869,86.7297,2817.0,NP,UTC
np_namche,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Namche Bazaar,NP,South Asia,27.8053,86.714,3556.0,NP,UTC
np_pokhara,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Pokhara,NP,South Asia,28.2096,83.9856,850.0,NP,UTC
sg_singapore,2026-05-05 00:00:00+00:00,2026-08-31 23:00:00+00:00,2856,Singapore,SG,Southeast Asia,1.3521,103.8198,46.0,SG,UTC
th_bangkok,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Bangkok,TH,Southeast Asia,13.7563,100.5018,4.0,TH,UTC
th_chiang_mai,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Chiang Mai,TH,Southeast Asia,18.7883,98.9853,313.0,TH,UTC
th_chiang_rai,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Chiang Rai,TH,Southeast Asia,19.9105,99.8406,397.0,TH,UTC
th_doi_inthanon,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Doi Inthanon,TH,Southeast Asia,18.5883,98.4867,2564.0,TH,UTC
th_khao_kho,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Khao Kho,TH,Southeast Asia,16.6346,100.995,908.0,TH,UTC
th_mae_hong_son,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Mae Hong Son,TH,Southeast Asia,19.302,97.9654,260.0,TH,UTC
th_phuket,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Phuket,TH,Southeast Asia,7.8804,98.3923,6.0,TH,UTC
vn_da_lat,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Da Lat,VN,Southeast Asia,11.9404,108.4583,1507.0,VN,UTC
vn_da_nang,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Da Nang,VN,Southeast Asia,16.0544,108.2022,6.0,VN,UTC
vn_fansipan,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Fansipan,VN,Southeast Asia,22.3033,103.775,3102.0,VN,UTC
vn_hanoi,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Hanoi,VN,Southeast Asia,21.0278,105.8342,18.0,VN,UTC
vn_sa_pa,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Sa Pa,VN,Southeast Asia,22.3364,103.8438,1514.0,VN,UTC
