location_id,year,hours,temperature,rainfall_mm,wind,expected_hours,complete
lk_batticaloa,2020,8784,27.88637295081967,1230.8,2.5241894353369765,8784,True
lk_batticaloa,2021,8760,27.62915525114155,1495.9,2.404095890410959,8760,True
lk_batticaloa,2022,8760,27.41093607305936,1754.6,2.4553367579908674,8760,True
lk_batticaloa,2023,8760,27.744029680365298,2156.7,2.252066210045662,8760,True
lk_batticaloa,2024,8784,28.234710837887068,1795.7,2.4492213114754096,8784,True
lk_batticaloa,2025,8760,28.039063926940642,1678.9,2.686692922374429,8760,True
lk_colombo,2020,8784,27.266097449908926,2128.0,2.3310701275045536,8784,True
lk_colombo,2021,8760,26.617328767123286,2837.1,2.369810502283105,8760,True
lk_colombo,2022,8760,26.68392694063927,2394.3,2.517490867579909,8760,True
lk_colombo,2023,8760,26.701084474885846,3188.5,2.3271495433789955,8760,True
lk_colombo,2024,8784,27.343806921675775,3066.2,2.371558515482696,8784,True
lk_colombo,2025,8760,26.75447488584475,2754.2,2.4715034246575343,8760,True
lk_galle,2020,8784,27.097506830601095,2191.8,2.6836020036429873,8784,True
lk_galle,2021,8760,26.619429223744294,2779.4,2.8200787671232876,8760,True
lk_galle,2022,8760,26.50429223744292,2514.7,3.008703196347032,8760,True
lk_galle,2023,8760,26.65313926940639,3650.0,2.404018264840183,8760,True
lk_galle,2024,8784,27.256944444444443,2755.3,2.6534061930783244,8784,True
lk_galle,2025,8760,26.765593607305938,2734.0,2.8979166666666667,8760,True
lk_jaffna,2020,8784,27.951855646630236,1298.9,5.9017998633879785,8784,True
lk_jaffna,2021,8760,27.64914383561644,1755.8,5.81818607305936,8760,True
lk_jaffna,2022,8760,27.541312785388126,1401.4,5.720038812785388,8760,True
lk_jaffna,2023,8760,27.793687214611875,1486.5,6.0112351598173515,8760,True
lk_jaffna,2024,8784,28.23270719489982,1556.9,5.944488843351548,8784,True
lk_jaffna,2025,8760,27.89455479452055,1516.7,5.991095890410959,8760,True
lk_matara,2020,8784,27.17285974499089,1656.2,3.7153756830601092,8784,True
lk_matara,2021,8760,26.667442922374427,2068.5,3.6408310502283103,8760,True
lk_matara,2022,8760,26.569680365296804,2026.9,3.773319634703196,8760,True
lk_matara,2023,8760,26.679817351598174,3020.4,3.20909703196347,8760,True
lk_matara,2024,8784,27.283276411657557,2371.5,3.5266142987249545,8784,True
lk_matara,2025,8760,26.83307077625571,2354.9,3.771236301369863,8760,True
lk_trincomalee,2020,8784,27.898007741347907,1278.7,4.588575819672132,8784,True
lk_trincomalee,2021,8760,27.556929223744294,1441.2,4.3867671232876715,8760,True
lk_trincomalee,2022,8760,27.38304794520548,1342.0,4.429111872146119,8760,True
lk_trincomalee,2023,8760,27.762054794520548,1794.0,4.276779680365296,8760,True
lk_trincomalee,2024,8784,28.14587887067395,1614.9,4.47671106557377,8784,True
lk_trincomalee,2025,8760,27.812773972602738,1866.3,4.590810502283105,8760,True
