location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,hours,country,latitude,longitude,elevation_m,elevation_km
bd_chattogram,1,19.653494623655916,0.0,2.4443817204301075,74.3024193548387,1014.5983870967741,9.38978494623656,199.63440860215053,744,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,2,22.680208333333333,0.0,2.4548511904761905,64.12946428571429,1012.0729166666666,16.282738095238095,235.92113095238096,672,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,3,25.565188172043012,1.1451612903225805,2.87263440860215,78.21639784946237,1010.0397849462365,34.33467741935484,235.86424731182797,744,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,4,27.73916666666667,3.203333333333333,3.5684305555555556,79.03888888888889,1007.4498611111111,45.67638888888889,240.76944444444445,720,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,5,28.020833333333332,4.054838709677419,3.296653225806452,82.48252688172043,1005.7016129032259,43.766129032258064,234.69892473118279,744,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,6,27.578333333333337,14.54,3.659402777777778,87.78055555555555,1003.4940277777777,84.74722222222222,169.07916666666668,720,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,7,26.951612903225808,31.664516129032258,5.5777688172043005,89.18548387096774,1001.6194892473119,93.87096774193549,143.0201612903226,744,BD,22.3569,91.7832,9.0,0.009
bd_chattogram,8,27.348655913978497,13.574193548387097,4.845712365591398,87.84811827956989,1002.1673387096774,89.93817204301075,175.8790322580645,744,BD,22.3569,91.7832,9.0,0.009
bd_dhaka,1,18.636962365591398,0.0,2.0790860215053764,71.6008064516129,1013.8538978494624,11.557795698924732,188.94220430107526,744,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,2,21.912053571428572,0.0,1.9959375,61.65625,1011.1153273809524,15.632440476190476,225.47321428571428,672,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,3,25.052150537634407,4.470967741935484,2.188333333333333,76.29301075268818,1008.1604838709678,41.62903225806452,211.86290322580646,744,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,4,27.821666666666665,4.883333333333333,2.999138888888889,78.96527777777777,1005.1211111111111,50.65277777777778,222.2736111111111,720,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,5,28.09206989247312,5.9,2.42008064516129,82.29704301075269,1003.73561827957,44.498655913978496,221.31720430107526,744,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,6,28.83375,7.923333333333333,2.7637916666666666,84.87083333333334,1001.1802777777779,74.49861111111112,194.7625,720,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,7,27.732795698924733,18.241935483870968,3.761209677419355,86.6975806451613,999.1486559139785,92.78897849462365,146.4811827956989,744,BD,23.8103,90.4125,19.0,0.019
bd_dhaka,8,28.46666666666667,6.658064516129032,3.3808198924731183,84.35215053763442,999.9991935483871,91.31586021505376,183.80913978494624,744,BD,23.8103,90.4125,19.0,0.019
bd_rangamati,1,19.87244623655914,0.0,1.2652016129032257,73.29838709677419,1012.1799731182796,22.650537634408604,195.20967741935485,744,BD,22.7324,92.2985,29.0,0.029
bd_rangamati,2,22.689732142857142,0.0035714285714285718,1.4566517857142858,58.20684523809524,1009.6909226190477,19.09672619047619,234.64136904761904,672,BD,22.7324,92.2985,29.0,0.029
bd_rangamati,3,25.8372311827957,0.603225806451613,1.7575672043010755,67.96639784946237,1007.768682795699,33.604838709677416,232.4233870967742,744,BD,22.7324,92.2985,29.0,0.029
bd_rangamati,4,28.07847222222222,2.4266666666666667,2.1434166666666665,71.8375,1005.2945833333333,41.701388888888886,240.47916666666666,720,BD,22.7324,92.2985,29.0,0.029
bd_rangamati,5,27.925940860215057,3.8129032258064517,1.8264919354838711,79.36962365591398,1003.6510752688172,46.03763440860215,226.7715053763441,744,BD,22.7324,92.2985,29.0,0.029
