location_id,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,name,country_code,region,latitude,longitude,elevation_m,country,timezone,period_rainfall_mm
bd_chattogram,27.562885154061625,15.719327731092436,4.3630217086834735,86.70098039215686,1004.1142857142858,Chattogram,BD,South Asia,22.3569,91.7832,9.0,BD,UTC,1870.6
bd_dhaka,28.395308123249297,9.53109243697479,3.1134838935574227,84.39460784313727,1003.0513655462186,Dhaka,BD,South Asia,23.8103,90.4125,19.0,BD,UTC,1134.2
bd_rangamati,27.363200280112043,9.920168067226891,2.2948914565826333,85.95833333333333,1004.5090336134454,Rangamati,BD,South Asia,22.7324,92.2985,29.0,BD,UTC,1180.5
bd_sajek,24.637149859943978,9.58235294117647,1.9994642857142857,86.83368347338936,1004.8648459383754,Sajek,BD,South Asia,23.3819,92.2938,435.0,BD,UTC,1140.3
bd_sylhet,27.22717086834734,26.44873949579832,1.2019712885154061,87.45378151260505,1004.1078081232492,Sylhet,BD,South Asia,24.8949,91.8687,20.0,BD,UTC,3147.4
bt_chele_la,8.634313725490196,10.75966386554622,1.114593837535014,87.60189075630252,1014.3951330532212,Chele La,BT,South Asia,27.3697,89.3461,3807.0,BT,UTC,1280.4
bt_paro,17.828641456582634,14.24873949579832,0.819796918767507,87.82317927170868,1010.7526960784313,Paro,BT,South Asia,27.4287,89.4164,2269.0,BT,UTC,1695.6000000000001
bt_phuentsholing,25.52006302521008,18.93529411764706,0.9077941176470589,86.19642857142857,1005.0669817927171,Phuentsholing,BT,South Asia,26.8516,89.3884,323.0,BT,UTC,2253.3
bt_punakha,21.693347338935574,11.908403361344536,0.8132773109243697,86.49894957983193,1010.6407212885155,Punakha,BT,South Asia,27.591,89.8774,1289.0,BT,UTC,1417.1
bt_thimphu,17.16341036414566,9.16218487394958,0.8410224089635854,86.73249299719888,1011.1837535014006,Thimphu,BT,South Asia,27.4728,89.6393,2316.0,BT,UTC,1090.3
id_berastagi,19.538515406162468,8.514285714285714,1.0816421568627452,88.63515406162466,1013.226855742297,Berastagi,ID,Southeast Asia,3.1947,98.5089,1401.0,ID,UTC,1013.2
